문장,유형,극성,시제,확실성,label
면역력을 높이고 암 세포를 죽이는 데 도움이되는 의료 면역 요법과 암 치료를 결합하면 암 전염과 재발의 가능성을 줄일 수 있다.,추론형,미정,미래,불확실,추론형-미정-미래-불확실
자신의 나라의 미래를 위해 일하고 싶은 사람들은 누구입니까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
그는 끔찍한 겁쟁이였나요?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
"제24조 조항에 의하면, 징계사와 관련하여 불만을 제기하는 경우, 징계사 판결은 사건이 완료될 때까지 중단되며, 징계사에 대한 명확한 증거가 있는 경우에는 징계사 판결을 진행할 수 있다.",사실형,미정,미래,확실,사실형-미정-미래-확실
누가 첫 번째 에디션을 썼나요?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
"특히 논란이 되는 것은 일부 사례가 ""직업의 극단적 인 증가""로 간주 될 수 있는지 여부이다.",사실형,미정,현재,확실,사실형-미정-현재-확실
이 날에는 해안의 중간에 날씨가 상승 할 것이며 날씨는 계속 상승 할 것이다.,사실형,미정,미래,불확실,사실형-미정-미래-불확실
남자와 여자가 친구가 될 수 있나요?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
처음으로 공군의 교차 태평양 직항 비행은 조종사가 장거리 항해 훈련을 경험할 수있게하며 미국 공군 기지의 무료 사용 비용과 워싱턴 DC와 워싱턴 DC 사이의 항공편을 사용하여 워싱턴 DC로 이동하는 비용을 줄일 것으로 예상된다.,추론형,미정,현재,확실,추론형-미정-현재-확실
“현재 설치된 제품의 차이점은 무엇입니까?”,대화형,미정,현재,불확실,대화형-미정-현재-불확실
이들 중 어느 것이 가장 효과적입니까?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
왜 독성 사망자는 중국에서만 발생하는가?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"그것은 우연이었을지도 모르지만, 그들의 고향 작품의 역사상 최초의 오스카 수상 이후 멘토를 찾는 저널리스트에 대한 태도는 올해 아카데미에서 가장 많이 수상한 나라에서 바뀌었을지도 모른다.",추론형,미정,과거,불확실,추론형-미정-과거-불확실
리그에 참여하지 않는 사용자가 함께 즐길 수있는 구조를 만들기 위해 eSports 측면을 강화할 계획이다.,사실형,미정,현재,확실,사실형-미정-현재-확실
이 기술이 구현되면 배드민턴을 배우는 사람들이 셔틀을 올바르게 타는지 스스로 확인할 수있는 시스템이 만들어집니다.,사실형,미정,미래,불확실,사실형-미정-미래-불확실
문제는 ‘범죄에 무력화’라는 교육의 폐지가 낮은 출산에 의해 더욱 악화될 수 있다는 것이다.,추론형,미정,미래,불확실,추론형-미정-미래-불확실
기초 수익률 격차가 작거나 미국 기초 수익률이 더 높은 상태로 회전되는 상황이 있다면 외국 투자자의 자금 유출로 원유 통화의 가치가 더 떨어질 수 있다.,추론형,미정,미래,불확실,추론형-미정-미래-불확실
"JSC 에어워즈는 지난 5월부터 주당 2회에서 주당 4회로 지난에서 구암으로 가는 항공편을 늘렸으며, 6월 24일부터 부산-싱가포르 항공편을 재개할 예정이다.",사실형,미정,미래,확실,사실형-미정-미래-확실
기능뿐만 아니라 시메트로 장착 된 디자인 패널뿐만 아니라 평가에 따르면 기존 건축 외부 재료와 달리 기술 특허 및 디자인 특허가 신청 된 상황이며 현재 국제 특허 신청도 준비 중이다.,사실형,미정,현재,확실,사실형-미정-현재-확실
또한 KC-330은 14일 중국-미국 안보위원회에 참석하기 위해 우리 대표단을 운반하여 태평양을 건너갈 예정이다.,사실형,미정,미래,불확실,사실형-미정-미래-불확실
시베리아 전염병과 마찬가지로 우리가 이미 알고있는 전염병이나 새로운 감염은 동물 전염을 통해 또는 직접 접촉을 통해 전 세계에 퍼질 수 있다.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
새로운 ESL Pro Tour Starcraft 2는 기존의 Starcraft 2 월드 챔피언십 시리즈의 후계자로 4 개 이상의 대륙을 덮을 것이다.,사실형,미정,미래,확실,사실형-미정-미래-확실
거기 거리가 있나요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"KF-X의 운영 대상인 공군은 10월 1일부터 10월 30일까지 한국 유형 전투기 KF-X 지명 지휘부를 통해 제출한 작업에서 지명의 상징성, 호출의 쉬움 및 의미를 고려할 것이며, 공식 지명으로 사용될 것이다.",사실형,미정,미래,확실,사실형-미정-미래-확실
"5월에는 홍콩-프랑크푸르트 경로가 4주에서 5주로 늘어나고, 5월 30일부터 홍콩-런던 경로는 2주에서 3주로 늘어날 예정이다.",사실형,미정,미래,확실,사실형-미정-미래-확실
